sector,ticker_a,ticker_b,name_a,name_b,eg_adf_stat,eg_pvalue,fdr_level,bh_critical_pvalue,passes_bh,hedge_ratio_beta,intercept_alpha,half_life_days,ar1_alpha,ar1_beta,zscore_window,latest_zscore,max_abs_zscore,threshold_breached,breach_date,ar1_sign_agreement_recent,ar1_latest_residual,zscore_delta_latest,zscore_delta2_latest,zscore_turning_recent,momentum_read
CA_BANKS,BNS.TO,RY.TO,BANK OF NOVA SCOTIA,ROYAL BANK OF CANADA,-3.6020175021047285,0.00572257437315938,0.05,,False,1.1143129158232938,-1.4606861077793099,,,,,,,,,,,,,,
CA_BANKS,NA.TO,RY.TO,NATIONAL BANK OF CANADA,ROYAL BANK OF CANADA,-3.1455524949538782,0.023360668816810932,0.05,,False,1.0986316526802717,-0.783881304435889,,,,,,,,,,,,,,
CA_BANKS,CM.TO,NA.TO,CANADIAN IMPERIAL BANK OF COMME,NATIONAL BANK OF CANADA,-2.6546213212355534,0.08222526490777765,0.05,,False,1.273993630682461,-1.7169369951837092,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,NA.TO,BANK OF NOVA SCOTIA,NATIONAL BANK OF CANADA,-2.600333884666538,0.09292827990192687,0.05,,False,1.0156333237233384,-0.6723375714539204,,,,,,,,,,,,,,
CA_BANKS,BNS.TO,CM.TO,BANK OF NOVA SCOTIA,CANADIAN IMPERIAL BANK OF COMME,-2.45317446172491,0.1272870005405437,0.05,,False,0.797237264023263,0.6962616162693029,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,CM.TO,BANK OF MONTREAL,CANADIAN IMPERIAL BANK OF COMME,-2.3635071169399096,0.15230219546730495,0.05,,False,0.8570601345635974,1.0732310360096649,,,,,,,,,,,,,,
CA_BANKS,RY.TO,TD.TO,ROYAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.3238125601389026,0.16440291306129057,0.05,,False,0.7214400593086749,1.917080787392348,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,RY.TO,BANK OF MONTREAL,ROYAL BANK OF CANADA,-2.1993249935780828,0.20649053646264698,0.05,,False,1.2035350719319464,-1.2747936413832681,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,TD.TO,BANK OF MONTREAL,TORONTO-DOMINION BANK,-2.1550099542956795,0.2229773314231317,0.05,,False,0.8681769101559277,1.0329439692906242,,,,,,,,,,,,,,
CA_BANKS,CM.TO,TD.TO,CANADIAN IMPERIAL BANK OF COMME,TORONTO-DOMINION BANK,-2.0859995444947192,0.2501813923637115,0.05,,False,1.0158881630667886,-0.06033192580684421,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,NA.TO,BANK OF MONTREAL,NATIONAL BANK OF CANADA,-2.0631863962266963,0.2595727592689507,0.05,,False,1.0964638903132666,-0.42089879464893887,,,,,,,,,,,,,,
CA_BANKS,NA.TO,TD.TO,NATIONAL BANK OF CANADA,TORONTO-DOMINION BANK,-2.0573895471916006,0.26198986036155175,0.05,,False,0.7916033550254223,1.326822569610536,,,,,,,,,,,,,,
CA_BANKS,CM.TO,RY.TO,CANADIAN IMPERIAL BANK OF COMME,ROYAL BANK OF CANADA,-1.9945464149839702,0.28896941382533314,0.05,,False,1.397474086376612,-2.70425631444697,,,,,,,,,,,,,,
CA_BANKS,BMO.TO,BNS.TO,BANK OF MONTREAL,BANK OF NOVA SCOTIA,-1.9676495551561208,0.30093523738195327,0.05,,False,1.077755557519824,0.3129073794534385,,,,,,,,,,,,,,
